feature,importance
return_50d,2
macd,2
quarter,2
volatility_10d,2
return_5d,1
price_to_sma_50,1
return_20d,1
bb_width,1
rsi_14,1
hl_range,1
price_to_sma_5,0
price_to_sma_10,0
return_10d_log,0
return_5d_log,0
return_10d,0
gap,0
price_to_sma_20,0
sma_10_50_cross,0
sma_5_20_cross,0
volatility_20d,0
hl_range_5d_avg,0
price_to_ema_20,0
price_to_ema_50,0
price_to_ema_5,0
price_to_ema_10,0
obv_ratio,0
volume_change,0
volume_ratio,0
atr_14,0
rsi_oversold,0
macd_signal,0
macd_diff,0
rsi_overbought,0
macd_bullish,0
bb_position,0
stoch_d,0
stoch_k,0
excess_return_5d,0
market_return_5d,0
day_of_week,0
month,0
