feature,mean_shap
quarter,0.021632968171779825
rsi_14,0.0033160412072199127
return_5d,0.0024899097901451223
macd,0.0019077732923053919
volatility_10d,0.0013851415173071987
bb_width,0.0012568465718310194
hl_range,0.0010807701373511732
price_to_sma_50,0.0005598083766335562
return_20d,0.0004712582835010576
return_50d,0.00035217174341080966
price_to_sma_5,0.0
price_to_sma_10,0.0
return_10d_log,0.0
return_5d_log,0.0
return_10d,0.0
gap,0.0
price_to_sma_20,0.0
sma_10_50_cross,0.0
sma_5_20_cross,0.0
volatility_20d,0.0
hl_range_5d_avg,0.0
price_to_ema_20,0.0
price_to_ema_50,0.0
price_to_ema_5,0.0
price_to_ema_10,0.0
obv_ratio,0.0
volume_change,0.0
volume_ratio,0.0
atr_14,0.0
rsi_oversold,0.0
macd_signal,0.0
macd_diff,0.0
rsi_overbought,0.0
macd_bullish,0.0
bb_position,0.0
stoch_d,0.0
stoch_k,0.0
excess_return_5d,0.0
market_return_5d,0.0
day_of_week,0.0
month,0.0
