feature,importance
quarter,0.109566815
month,0.06875404
macd_bullish,0.058047827
return_5d_log,0.049582392
rsi_overbought,0.03365383
price_to_ema_10,0.031406544
market_return_5d,0.030750258
bb_position,0.027623434
rsi_14,0.026405767
hl_range_5d_avg,0.02561834
macd_signal,0.024978518
price_to_ema_50,0.024447754
volatility_20d,0.024033349
macd_diff,0.023554126
macd,0.022913741
bb_width,0.022156505
return_20d,0.022094171
volatility_10d,0.021875853
return_50d,0.021352883
stoch_k,0.020773217
price_to_sma_50,0.020531991
price_to_sma_20,0.020387968
excess_return_5d,0.01932563
return_5d,0.018911226
stoch_d,0.018736167
price_to_sma_5,0.018718401
price_to_ema_5,0.018679183
return_10d,0.017860744
obv_ratio,0.017318686
atr_14,0.0172327
hl_range,0.01645371
price_to_sma_10,0.015027309
volume_ratio,0.01494346
price_to_ema_20,0.014887749
gap,0.012517213
volume_change,0.012199655
sma_10_50_cross,0.012113559
day_of_week,0.011444273
return_10d_log,0.010050781
sma_5_20_cross,0.003070251
rsi_oversold,0.0
